2020-01-27 10:22:03,563 [1] INFO  PointsOfInterest.Logger.UserLogger test2@abv.bg
2020-01-27 10:26:07,685 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:37:37,068 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:38:09,101 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:39:05,171 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:41:04,139 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:41:36,824 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:42:46,046 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:43:19,168 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:45:34,435 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:49:31,488 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 11:52:33,090 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 12:01:09,474 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 12:01:55,071 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 13:56:05,271 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-01-27 13:56:56,390 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-11 13:05:29,134 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-11 13:09:16,588 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-11 13:18:41,967 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-16 16:01:05,729 [1] INFO  PointsOfInterest.Logger.UserLogger email: borislavgg@abv.bg, username: Borislav
2020-02-16 16:04:35,302 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-16 16:11:23,307 [1] INFO  PointsOfInterest.Logger.UserLogger email: borislavgg@abv.bg, username: Borislav
2020-02-17 14:18:42,960 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 15:26:22,149 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 15:30:01,989 [1] INFO  PointsOfInterest.Logger.UserLogger email: test3@abv.bg, username: Testtovv
2020-02-17 15:33:37,804 [1] INFO  PointsOfInterest.Logger.UserLogger email: test3@abv.bg, username: Testtovv
2020-02-17 15:33:51,957 [1] INFO  PointsOfInterest.Logger.UserLogger email: test3@abv.bg, username: Testtovv
2020-02-17 17:49:35,641 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 17:51:10,241 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 17:54:08,504 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 17:56:20,053 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 17:58:11,071 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 18:00:39,846 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 18:05:49,334 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 18:07:51,560 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 18:09:12,584 [1] INFO  PointsOfInterest.Logger.UserLogger email: test3@abv.bg, username: Testtovv
2020-02-17 21:21:12,329 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 21:22:46,391 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 21:26:15,476 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 21:28:01,773 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-17 21:29:24,428 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 11:19:57,420 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 11:20:33,582 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 11:21:15,116 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 11:21:55,060 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 17:30:41,894 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 17:34:05,002 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-18 17:35:09,056 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 11:21:03,679 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 11:21:27,334 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 11:23:55,426 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 11:24:17,644 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:12:48,941 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
2020-02-19 18:15:47,047 [1] INFO  PointsOfInterest.Logger.UserLogger email: test2@abv.bg, username: dakata1
